player,comp,round,date,venue,opp,pos,min,type,assisted
ronaldo,LaLiga,35,5/2/2010,H,CA Osasuna  ,,25',Right-footed shot,
ronaldo,,,,,,,89',Header,Gonzalo Higuaín
ronaldo,LaLiga,36,5/5/2010,A,RCD Mallorca  ,,26',Right-footed shot,Sergio Ramos
ronaldo,,,,,,,56',Right-footed shot,Sergio Ramos
ronaldo,,,,,,,71',Right-footed shot,
ronaldo,LaLiga,37,5/8/2010,H,Athletic  ,CF,21',Penalty,
ronaldo,LaLiga,4,9/21/2010,H,Espanyol  ,LW,28',Penalty,
ronaldo,LaLiga,6,10/3/2010,H,Dep. La Coruña  ,LW,4',Header,Mesut Özil
ronaldo,,,,,,,89',Left-footed shot,Xabi Alonso
ronaldo,LaLiga,7,10/16/2010,A,Málaga CF  ,LW,45',Right-footed shot,Mesut Özil
ronaldo,,,,,,,50',Penalty,
ronaldo,Champions League,Group Stage,10/19/2010,H,AC Milan,LW,13',Direct free kick,
ronaldo,LaLiga,8,10/23/2010,H,Racing  ,LW,15',Right-footed shot,Gonzalo Higuaín
ronaldo,,,,,,,26',Left-footed shot,Mesut Özil
ronaldo,,,,,,,47',Right-footed shot,Ángel Di María
ronaldo,,,,,,,55',Penalty,
ronaldo,LaLiga,9,10/30/2010,A,Hércules CF  ,LW,82',Right-footed shot,Karim Benzema
ronaldo,,,,,,,86',Right-footed shot,Karim Benzema
ronaldo,Copa del Rey,4th round,11/10/2010,H,Real Murcia,,76',Left-footed shot,Ángel Di María
ronaldo,LaLiga,12,11/20/2010,H,Athletic  ,LW,30',Left-footed shot,Mesut Özil
ronaldo,,,,,,,62',Direct free kick,
ronaldo,,,,,,,90'+1,Penalty,
ronaldo,Champions League,Group Stage,11/23/2010,A,Ajax,LW,70',Left-footed shot,Ángel Di María
ronaldo,,,,,,,81',Penalty,
ronaldo,LaLiga,14,12/4/2010,H,Valencia  ,LW,72',Left-footed shot,Mesut Özil
ronaldo,,,,,,,86',Right-footed shot,
ronaldo,Champions League,Group Stage,12/8/2010,H,AJ Auxerre,LW,49',Right-footed shot,Marcelo
ronaldo,LaLiga,15,12/12/2010,A,Real Zaragoza  ,LW,43',Direct free kick,
